classifier,layer,accuracy
svm,-1,0.6256281407035176
svm,-4,0.6180904522613065
svm,-8,0.6030150753768844
svm,-16,0.6180904522613065
svm,all,0.6256281407035176
lr,-1,0.5653266331658291
lr,-4,0.5753768844221105
lr,-8,0.5778894472361809
lr,-16,0.5653266331658291
lr,all,0.5703517587939698
dnn_3_layer,-1,0.5326633453369141
dnn_3_layer,-4,0.4673366844654083
dnn_3_layer,-8,0.5326633453369141
dnn_3_layer,-16,0.5929648280143738
dnn_3_layer,all,0.5326633453369141
dnn_5_layer,-1,0.572864294052124
dnn_5_layer,-4,0.6005024909973145
dnn_5_layer,-8,0.5979899764060974
dnn_5_layer,-16,0.5778894424438477
dnn_5_layer,all,0.5326633453369141
