classifier,layer,accuracy
svm,-1,0.6407035175879398
svm,-4,0.6432160804020101
svm,-8,0.6407035175879398
svm,-16,0.6457286432160804
svm,all,0.6557788944723618
lr,-1,0.5728643216080402
lr,-4,0.6155778894472361
lr,-8,0.628140703517588
lr,-16,0.585427135678392
lr,all,0.5778894472361809
dnn_3_layer,-1,0.4673366844654083
dnn_3_layer,-4,0.4673366844654083
dnn_3_layer,-8,0.4673366844654083
dnn_3_layer,-16,0.5829145908355713
dnn_3_layer,all,0.5326633453369141
dnn_5_layer,-1,0.5979899764060974
dnn_5_layer,-4,0.6206030249595642
dnn_5_layer,-8,0.5603014826774597
dnn_5_layer,-16,0.570351779460907
dnn_5_layer,all,0.5829145908355713
