classifier,layer,accuracy
svm,-1,0.7309941520467836
svm,-4,0.7076023391812866
svm,-8,0.7095516569200779
svm,-16,0.6686159844054581
svm,all,0.7153996101364523
lr,-1,0.6744639376218323
lr,-4,0.6803118908382066
lr,-8,0.6998050682261209
lr,-16,0.6881091617933723
lr,all,0.6900584795321637
dnn_3_layer,-1,0.4658869504928589
dnn_3_layer,-4,0.4658869504928589
dnn_3_layer,-8,0.4658869504928589
dnn_3_layer,-16,0.5653021335601807
dnn_3_layer,all,0.5341130495071411
dnn_5_layer,-1,0.6374269127845764
dnn_5_layer,-4,0.7251461744308472
dnn_5_layer,-8,0.6491228342056274
dnn_5_layer,-16,0.6608186960220337
dnn_5_layer,all,0.7115010023117065
