classifier,layer,accuracy
svm,-1,0.6017699115044248
svm,-4,0.5929203539823009
svm,-8,0.5929203539823009
svm,-16,0.584070796460177
svm,all,0.6017699115044248
lr,-1,0.6194690265486725
lr,-4,0.6371681415929203
lr,-8,0.5663716814159292
lr,-16,0.5575221238938053
lr,all,0.6017699115044248
dnn_3_layer,-1,0.4690265357494354
dnn_3_layer,-4,0.4690265357494354
dnn_3_layer,-8,0.5840708017349243
dnn_3_layer,-16,0.6283186078071594
dnn_3_layer,all,0.5309734344482422
dnn_5_layer,-1,0.5132743120193481
dnn_5_layer,-4,0.6017699241638184
dnn_5_layer,-8,0.6106194853782654
dnn_5_layer,-16,0.6017699241638184
dnn_5_layer,all,0.6194690465927124
