classifier,layer,accuracy
svm,-1,0.7309941520467836
svm,-4,0.7485380116959064
svm,-8,0.7173489278752436
svm,-16,0.7192982456140351
svm,all,0.7368421052631579
lr,-1,0.6939571150097466
lr,-4,0.7037037037037037
lr,-8,0.7017543859649122
lr,-16,0.7270955165692008
lr,all,0.7251461988304093
dnn_3_layer,-1,0.5341130495071411
dnn_3_layer,-4,0.4658869504928589
dnn_3_layer,-8,0.4658869504928589
dnn_3_layer,-16,0.6822612285614014
dnn_3_layer,all,0.4658869504928589
dnn_5_layer,-1,0.635477602481842
dnn_5_layer,-4,0.6666666865348816
dnn_5_layer,-8,0.6822612285614014
dnn_5_layer,-16,0.6627680063247681
dnn_5_layer,all,0.7037037014961243
