classifier,layer,accuracy
svm,-1,0.6371681415929203
svm,-4,0.6106194690265486
svm,-8,0.5752212389380531
svm,-16,0.5486725663716814
svm,all,0.6371681415929203
lr,-1,0.6637168141592921
lr,-4,0.5575221238938053
lr,-8,0.5929203539823009
lr,-16,0.5575221238938053
lr,all,0.672566371681416
dnn_3_layer,-1,0.5309734344482422
dnn_3_layer,-4,0.4690265357494354
dnn_3_layer,-8,0.6106194853782654
dnn_3_layer,-16,0.6017699241638184
dnn_3_layer,all,0.5309734344482422
dnn_5_layer,-1,0.6106194853782654
dnn_5_layer,-4,0.5398229956626892
dnn_5_layer,-8,0.5840708017349243
dnn_5_layer,-16,0.5840708017349243
dnn_5_layer,all,0.5575221180915833
